vcc 0 0 0 vcc_model vcc_type global_master
adc/adc/ifreezelogic/fmw21/mg22.qpa 178 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg23.qna 179 200 680 n n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg23.qpa 180 200 1020 p p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg24.qna 181 200 1360 n n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg24.qpa 182 200 1360 p p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg28.qna 183 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg28.qpa 184 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg3.qnck 185 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg3.qnd 186 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg3.qpckb 187 200 1360 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg3.qpd 188 200 1360 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg4.qns 189 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg4.qpsb 190 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg5.qna 191 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg5.qpa 192 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg7.qna 193 200 680 n n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg7.qpa 194 200 680 p p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg8.qna 195 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg8.qnb 196 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg8.qpa 197 200 2040 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg8.qpb 198 200 2040 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg9.qna 199 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg9.qnb 200 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg9.qpa 201 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg9.qpb 202 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg901.qnck 203 200 2040 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg901.qnd 204 200 2040 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg901.qpckb 205 200 2040 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg901.qpd 206 200 2040 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg99.qna 207 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg99.qpa 208 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mqn121 209 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mqn122 210 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mqn125 211 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mqn126 212 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mqp121 213 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mqp122 214 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mqp125 215 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mqp126 216 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/lsn00/mg0.g1.qns 217 200 340 nsvt n ec0lsn080al1n03x5
adc/adc/ifreezelogic/lsn00/mg0.g1.qpsb 218 200 680 psvt p ec0lsn080al1n03x5
adc/adc/ifreezelogic/lsn00/mg0.g3.qnck 219 200 340 nsvt n ec0lsn080al1n03x5
adc/adc/ifreezelogic/lsn00/mg0.g3.qnd 220 200 340 nsvt n ec0lsn080al1n03x5
adc/adc/ifreezelogic/lsn00/mg0.g3.qpckb 221 200 680 psvt p ec0lsn080al1n03x5
adc/adc/ifreezelogic/lsn00/mg0.g3.qpd 222 200 680 psvt p ec0lsn080al1n03x5
adc/adc/ifreezelogic/lsn00/mg0.g99.qna 223 200 340 nsvt n ec0lsn080al1n03x5
adc/adc/ifreezelogic/lsn00/mg0.g99.qpa 224 200 680 psvt p ec0lsn080al1n03x5
adc/adc/ifreezelogic/lsn00/mg1.qn0 225 200 340 n n ec0lsn080al1n03x5
adc/adc/ifreezelogic/lsn00/mg1.qp0 226 200 340 p p ec0lsn080al1n03x5
adc/adc/ifreezelogic/lsn00/mg101.qna 227 200 1020 nsvt n ec0lsn080al1n03x5
adc/adc/ifreezelogic/lsn00/mg101.qpa 228 200 1020 psvt p ec0lsn080al1n03x5
adc/adc/ifreezelogic/lsn00/mg2.g0.qna 229 200 680 nsvt n ec0lsn080al1n03x5
