vcc 0 0 0 vcc_model vcc_type global_master
qpb3[5]/mqp2 253 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[6]/mqn2 254 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[6]/mqp0 255 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[6]/mqp1 256 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[6]/mqp2 257 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpocb01dum/mqp0 258 200 1360 pavt p e8xlth4hhtn1200pa1unx
qpocb01dum/mqp1 259 200 1360 pavt p e8xlth4hhtn1200pa1unx
qpb3[7]/mqn2 260 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[7]/mqp0 261 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[7]/mqp1 262 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[7]/mqp2 263 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpcb0[0]/mqp2 264 200 2040 pavt p e8xltp620tn2000pa1unx
qpcb0[0]/mqp3 265 200 2040 pavt p e8xltp620tn2000pa1unx
qpb3[8]/mqn2 266 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[8]/mqp0 267 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[8]/mqp1 268 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[8]/mqp2 269 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpcb0[1]/mqp2 270 200 2040 pavt p e8xltp620tn2000pa1unx
qpcb0[1]/mqp3 271 200 2040 pavt p e8xltp620tn2000pa1unx
qpstat[0]/mqn2 272 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpstat[0]/mqp0 273 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpstat[0]/mqp1 274 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpstat[0]/mqp2 275 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb3[9]/mqn2 276 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[9]/mqp0 277 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[9]/mqp1 278 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb3[9]/mqp2 279 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qnnxxdum[0]/mqn1 280 200 1360 navt n e8xlth4hdnn1200na1unx
qnocb01dum/mqn0 281 200 1360 navt n e8xlth4hhnn1200na1unx
qnocb01dum/mqn1 282 200 1360 navt n e8xlth4hhnn1200na1unx
qpstat[1]/mqn2 283 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpstat[1]/mqp0 284 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpstat[1]/mqp1 285 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
